tier,rank,term,mean_tfidf
Top,1,global,0.03267010769294157
Top,2,art,0.03232023611184681
Top,3,world,0.030455404355528088
Top,4,science,0.029999340667609224
Top,5,lead,0.029158946386028436
Top,6,innovation,0.02899810640119675
Top,7,engineering,0.028305658730414258
Top,8,design,0.02799633573634273
Top,9,impact,0.027984365858806322
Top,10,learning,0.027091868539947248
Top,11,programme,0.026811074355500897
Top,12,campus,0.026519395961753386
Top,13,challenge,0.02638587222876163
Top,14,subject,0.02610209379185078
Top,15,development,0.025860617301403058
Top,16,learn,0.025395008857740924
Top,17,digital,0.02523604783943346
Top,18,time,0.024580363150538787
Top,19,help,0.024299875955921084
Top,20,policy,0.0242653192108107
Mid,1,campus,0.03761016198282849
Mid,2,staff,0.034915473103780244
Mid,3,impact,0.03472710345310327
Mid,4,people,0.032786842381989534
Mid,5,world,0.029928720357890716
Mid,6,environment,0.02931116028782403
Mid,7,create,0.02881820376884678
Mid,8,innovation,0.02870531664448278
Mid,9,increase,0.028555031307874453
Mid,10,sustainability,0.02815176924271775
Mid,11,national,0.027761849374584494
Mid,12,lead,0.027655718963827115
Mid,13,funding,0.027576559769919635
Mid,14,facility,0.02740392745600498
Mid,15,knowledge,0.027387142926227747
Mid,16,quality,0.027322358283114172
Mid,17,capability,0.027223736725569266
Mid,18,development,0.02720380751271418
Mid,19,build,0.026639331450375118
Mid,20,society,0.026555801062215792
Lower,1,process,0.03992599195569153
Lower,2,program,0.03725878887747687
Lower,3,date,0.037246920260017406
Lower,4,evaluate,0.03658739901022704
Lower,5,score,0.036416123420540285
Lower,6,opportunity,0.03527956794336274
Lower,7,review,0.034559682391383184
Lower,8,submit,0.033931804372613575
Lower,9,application,0.03341800330389123
Lower,10,applicant,0.032746322272825805
Lower,11,conduct,0.032576810794877925
Lower,12,evaluation,0.03227988400486005
Lower,13,transcript,0.03175928727170635
Lower,14,report,0.03158914040991106
Lower,15,interest,0.03148093552024339
Lower,16,complete,0.03134462039147
Lower,17,admission,0.03104618989845726
Lower,18,information,0.03098179325132042
Lower,19,spring,0.030944797136910167
Lower,20,service,0.030619961571397097
